BKR: Equity Bond = 5.660554378779274%
BKYI: Equity Bond = -187.545170000403%
BL: Equity Bond = 1.5225922351092371%
BLAC: Equity Bond = 3.603497096402858%
Error for BLACR: 'Pretax Income'
BLBD: Equity Bond = 2.313896328888295%
BLDE: Equity Bond = -19.38680919373151%
BLFS: Equity Bond = -5.3657707382787425%
BLFY: Equity Bond = -3.3719267989291013%
BLIN: Equity Bond = -43.765647975931785%
BLKB: Equity Bond = 0.4548724347123069%
BLMN: Equity Bond = 25.616316847564942%
BLNK: Equity Bond = -169.36504546158903%
BLTE: Equity Bond = -1.7208184726567024%
BLUE: Equity Bond = -310.2379900336702%
BLZE: Equity Bond = -19.552518353099888%
BMBL: Equity Bond = 0.6103362598239446%
BMEA: Equity Bond = -82.33153469245701%
BMRA: Equity Bond = -82.16693054008269%
BMRC: Equity Bond = 6.564698595527416%
BMRN: Equity Bond = 1.5845626231412997%
BNGO: Equity Bond = -1881.8617259001612%
BNIX: Equity Bond = 0.8326794742163803%
Error for BNIXR: 'Pretax Income'
BNTC: Equity Bond = -7.140627358976806%
BNZI: Equity Bond = -130.41442444569674%
BOF: Equity Bond = -21.362678222302325%
BOKF: Equity Bond = 9.863514203981817%
BOLD: Equity Bond = -99.40678477347222%
BOLT: Equity Bond = -354.5068120002685%
BOOM: Equity Bond = 30.336783055995266%
BOTJ: Equity Bond = 16.276492687707673%
Error for BOWN: 'Pretax Income'
Error for BOWNR: 'Pretax Income'
Error for BOWNU: 'Pretax Income'
BOXL: Equity Bond = -502.87101170482214%
BPMC: Equity Bond = -7.143963696145658%
BPOP: Equity Bond = 9.63979240958852%
Error for BPOPM: 'Pretax Income'
BPRN: Equity Bond = 13.99122291175175%
BPTH: Equity Bond = -366.7764669210879%
BRFH: Equity Bond = -5.161912789922104%
BRID: Equity Bond = 4.8598326052877034%
BRKL: Equity Bond = 8.740034068059792%
BRKR: Equity Bond = 6.330024900028819%
BRLT: Equity Bond = 18.150640785531728%
BRTX: Equity Bond = -63.790930472204934%
BRY: Equity Bond = 16.95002075746791%
BRZE: Equity Bond = -3.859480307780093%
BSBK: Equity Bond = 0.4716363568994129%
BSET: Equity Bond = -2.004898237151322%
BSGM: Equity Bond = -160.0620744044843%
Error for BSLK: can only convert an array of size 1 to a Python scalar
BSRR: Equity Bond = 11.041303729312974%
BSVN: Equity Bond = 9.420204619467707%
BSY: Equity Bond = 1.3765847567570904%
BTAI: Equity Bond = -1172.5178319637193%
BTBD: Equity Bond = -9.31866563836824%
BTBT: Equity Bond = -2.8967783126106856%
BTCS: Equity Bond = 13.996564805937743%
BTM: Equity Bond = 5.37312630348719%
BTMD: Equity Bond = -0.07473288325788563%
BTOC: Equity Bond = 12.272285322142604%
BTOG: Equity Bond = -640.8844858737792%
BTSG: Equity Bond = -4.29543480163683%
BUSE: Equity Bond = 11.389497365460896%
BVFL: Equity Bond = 11.584878144463593%
BVS: Equity Bond = -17.645355897522865%
BWB: Equity Bond = 13.833516835549602%
BWEN: Equity Bond = 21.111689668329735%
BWFG: Equity Bond = 19.616309574105017%
BWIN: Equity Bond = -5.8755916392654%
BWMN: Equity Bond = -1.4835568127080425%
BYFC: Equity Bond = 14.346405068118868%
BYND: Equity Bond = -135.25263607524082%
BYRN: Equity Bond = -1.3655404912866627%
BYSI: Equity Bond = -32.047051336985255%
BZFD: Equity Bond = -66.47796944655319%
CABA: Equity Bond = -58.66916979210577%
CAC: Equity Bond = 7.181870654336092%
CACC: Equity Bond = 5.975476242367995%
CADL: Equity Bond = -11.930509710186161%
CAKE: Equity Bond = 3.4553578931540265%
CALC: Equity Bond = -96.5295333114409%
CALM: Equity Bond = 21.156235036116357%
CAMP: Equity Bond = -55.0643396271859%
Error for CAPN: 'Pretax Income'
Error for CAPNU: 'Pretax Income'
CAPR: Equity Bond = -3.2289877986462554%
CAR: Equity Bond = 62.108418428140155%
CARA: Equity Bond = -542.3816925499584%
CARE: Equity Bond = 7.16749179293366%
CARG: Equity Bond = 1.5296221752790722%
CARM: Equity Bond = -455.3455464934564%
CART: Equity Bond = -16.668881723213495%
CARV: Equity Bond = -50.655667461622635%
CASH: Equity Bond = 9.539191922241757%
CASI: Equity Bond = -71.90967278637346%
CASK: Equity Bond = -579.7920068913005%
CASS: Equity Bond = 6.701556572317495%
CASY: Equity Bond = 3.8466154067225804%
CATY: Equity Bond = 12.231999880145205%
CBFV: Equity Bond = 20.172515472214457%
CBLL: Equity Bond = -3.548354508635523%
CBNK: Equity Bond = 8.992577626614715%
CBRL: Equity Bond = 7.347670871092758%
CBSH: Equity Bond = 6.98781100424741%
CBUS: Equity Bond = -443.88669436608603%
CCAP: Equity Bond = 11.632485887100273%
CCB: Equity Bond = 4.327337950877287%
CCBG: Equity Bond = 10.186036607589323%
CCCC: Equity Bond = -55.32234214288076%
CCCS: Equity Bond = -1.1776140442482765%
CCD: Equity Bond = -2.6106278365793845%
Error for CCIX: 'Pretax Income'
Error for CCIXW: 'Pretax Income'
CCLD: Equity Bond = -80.65700905428301%
CCNE: Equity Bond = 13.667994222941923%
CCOI: Equity Bond = 32.27997634286015%
CCRN: Equity Bond = 17.515402366722487%
CCSI: Equity Bond = 19.258695899322518%
CDIO: Equity Bond = -47.18526408065867%
CDLX: Equity Bond = -90.76868057747808%
CDMO: Equity Bond = 0.1991827284612366%
CDNA: Equity Bond = -15.202409185171495%
CDNS: Equity Bond = 1.5669042833439228%
CDT: Equity Bond = -15.808478072015742%
CDTX: Equity Bond = -10.842212540343706%
CDW: Equity Bond = 5.483853417927696%
CDXC: Equity Bond = -1.1775526836555577%
CDXS: Equity Bond = -21.920743604041057%
CDZI: Equity Bond = -8.295774647078519%
CEAD: Equity Bond = -50.204721941230524%
CECO: Equity Bond = 2.1775273231879675%
CEG: Equity Bond = 2.5536023603123037%
CELC: Equity Bond = -13.525536600974089%
CELH: Equity Bond = 5.224416310420757%
CELU: Equity Bond = -408.1485909147373%
CELZ: Equity Bond = -95.4148263269618%
CENT: Equity Bond = 41.74055726430591%
CENTA: Equity Bond = 9.836851072905096%
CENX: Equity Bond = -3.961678010140894%
CEP: Equity Bond = -0.23927969870739416%
